masked,cluster,original_examples,original_count
/image/<NUM>/productModel/<NUM>x<NUM>,5,/image/62423/productModel/150x150|||/image/61483/productModel/200x200|||/image/11667/productModel/200x200|||/image/62449/productModel/200x200|||/image/2690/productModel/200x200,191
/image/<NUM>/productTypeType,5,/image/2/productTypeType|||/image/120/productTypeType|||/image/14/productTypeType|||/image/11/productTypeType|||/image/190/productTypeType,16
"/m/filter/p<NUM>,b<NUM>,b<NUM>",6,"/m/filter/p25,b103,b50",1
/m/filter/b<NUM>?page=<NUM>,6,/m/filter/b113?page=1,1
"/m/filter/p<NUM>,b<NUM>?page=<NUM>",6,"/m/filter/p62,b5?page=1",1
"/m/filter?f=p<NUM>,b<NUM>",6,"/m/filter?f=p12,b185",1
/m/filter/p<NUM>?page=<NUM>,6,/m/filter/p62?page=1|||/m/filter/p1233?page=1|||/m/filter/p3?page=1|||/m/filter/p2597?page=1|||/m/filter/p3?page=2,5
"/m/filter/b<NUM>,p<NUM>,stexists,t<NUM>",6,"/m/filter/b99,p4510,stexists,t116",1
"/m/filter/b<NUM>,p<NUM>?page=<NUM>",6,"/m/filter/b1,p1?page=1",1
"/m/filter/b<NUM>,p<NUM>,stexists",6,"/m/filter/b99,p4510,stexists",1
"/m/filter/p<NUM>,b<NUM>",6,"/m/filter/p62,b5|||/m/filter/p29,b103|||/m/filter/p25,b103",3
"/filter/b<NUM>,p<NUM>",7,"/filter/b1,p62",1
/m/browse/fryer/سرخ-کن,7,/m/browse/fryer/سرخ-کن,1
/m/browse/meat-grinder/چرخ-گوشت,7,/m/browse/meat-grinder/چرخ-گوشت,1
/m/browse/citrus-only-juicer/آب-پرتقال-گیری,7,/m/browse/citrus-only-juicer/آب-پرتقال-گیری,1
/m/browse/food-preparation/آماده-سازی-غذا,7,/m/browse/food-preparation/آماده-سازی-غذا,1
/m/browse/cell-phone/گوشی-موبایل,7,/m/browse/cell-phone/گوشی-موبایل,1
/m/search,7,/m/search,1
/m/browse/mixer/همزن,7,/m/browse/mixer/همزن,1
/browse/blu-ray,7,/browse/blu-ray,1
"/filter/stexists,p<NUM>",7,"/filter/stexists,p24656|||/filter/stexists,p24657|||/filter/stexists,p18560|||/filter/stexists,p12595|||/filter/stexists,p18556",13
"/filter/stexists,p<NUM>,b<NUM>",7,"/filter/stexists,p8393,b80|||/filter/stexists,p8391,b80|||/filter/stexists,p53,b165|||/filter/stexists,p8392,b80",4
"/filter/stexists,p<NUM>,b<NUM>,b<NUM>,b<NUM>,b<NUM>",7,"/filter/stexists,p53,b20,b172,b14,b92",1
/settings/logo,7,/settings/logo,1
/site/ping,7,/site/ping,1
/site/enamad,7,/site/enamad,1
/,7,/,1
"/filter/stexists,p<NUM>,b<NUM>,b<NUM>,b<NUM>,b<NUM>?page=<NUM>",8,"/filter/stexists,p53,b20,b172,b14,b92?page=3|||/filter/stexists,p53,b20,b172,b14,b92?page=1|||/filter/stexists,p53,b20,b172,b14,b92?page=5|||/filter/stexists,p53,b20,b172,b14,b92?page=2|||/filter/stexists,p53,b20,b172,b14,b92?page=4",5
/filter?f=p<NUM>&page=<NUM>,8,/filter?f=p12129&page=19|||/filter?f=p12129&page=14|||/filter?f=p12129&page=21|||/filter?f=p12250&page=2,4
"/filter/stexists,p<NUM>?page=<NUM>",8,"/filter/stexists,p12595?page=1|||/filter/stexists,p18555?page=1|||/filter/stexists,p18561?page=1|||/filter/stexists,p12595?page=3|||/filter/stexists,p12601?page=6",22
"/filter?f=p<NUM>,b<NUM>&o=b&page=<NUM>",8,"/filter?f=p53,b19&o=b&page=1",1
"/filter/stexists,p<NUM>,b<NUM>?page=<NUM>",8,"/filter/stexists,p8392,b80?page=1|||/filter/stexists,p8391,b80?page=2|||/filter/stexists,p8393,b80?page=1|||/filter/stexists,p8391,b80?page=6|||/filter/stexists,p8391,b80?page=1",15
/image/<NUM>?name=pr<NUM>at.jpg&wh=max,9,/image/32574?name=pr465at.jpg&wh=max,1
/image/<NUM>/specialSale?role=e<NUM>,9,/image/8727/specialSale?role=e3|||/image/8739/specialSale?role=e1|||/image/8712/specialSale?role=e3|||/image/8712/specialSale?role=e2|||/image/8712/specialSale?role=e1,9
/image/<NUM>?name=black...jpg&wh=max,9,/image/28821?name=black...jpg&wh=max,1
/image/<NUM>?name=<NUM>.jpg&wh=max,9,/image/5820?name=41138.jpg&wh=max|||/image/3597?name=1.jpg&wh=max,2
/image/<NUM>?name=<NUM>redd.jpg&wh=max,9,/image/28821?name=7redd.jpg&wh=max,1
/image/<NUM>?name=<NUM>red.jpg&wh=max,9,/image/28821?name=7red.jpg&wh=max,1
/image/<NUM>?name=-jetblack.....jpg&wh=max,9,/image/28821?name=-jetblack.....jpg&wh=max,1
/image/{{basketItem.id}}?type=productModel&wh=<NUM>x<NUM>,9,/image/{{basketItem.id}}?type=productModel&wh=50x50,1
/image/<NUM>?name=iphonexs_silver.jpg&wh=max,9,/image/33631?name=iphonexs_silver.jpg&wh=max,1
/image/<NUM>?name=gastroback-<NUM>.jpg&wh=max,9,/image/30782?name=gastroback-21.jpg&wh=max,1
/image/<NUM>?name=iphone-xs-<NUM>.jpg&wh=max,9,/image/33631?name=iphone-xs-2.jpg&wh=max,1
/image/<NUM>?name=code+<NUM>.jpg&wh=<NUM>x<NUM>,10,/image/3565?name=code+1129.jpg&wh=200x200,1
/image/<NUM>?name=<NUM>thumb.jpg&wh=<NUM>x<NUM>,10,/image/28893?name=1450677370thumb.jpg&wh=200x200,1
/image/<NUM>?name=<NUM>.jpg&wh=<NUM>x<NUM>,10,/image/3553?name=502.jpg&wh=200x200|||/image/31356?name=5000.jpg&wh=200x200|||/image/3579?name=1139.jpg&wh=200x200|||/image/20120?name=12.jpg&wh=200x200|||/image/3576?name=1149.jpg&wh=200x200,5
/image/<NUM>?name=mdn<NUM>.jpg&wh=<NUM>x<NUM>,10,/image/27142?name=mdn76.jpg&wh=200x200,1
/image/<NUM>?name=kachiran-roz<NUM>+.jpg&wh=<NUM>x<NUM>,10,/image/32593?name=kachiran-roz210+.jpg&wh=200x200,1
/image/<NUM>?name=rs<NUM>w.jpg&wh=<NUM>x<NUM>,10,/image/1221?name=rs12w.jpg&wh=200x200,1
/image/<NUM>?name=z.jpg&wh=<NUM>x<NUM>,10,/image/11700?name=z.jpg&wh=200x200,1
/image/<NUM>?name=pr<NUM>at<NUM>.jpg&wh=max,10,/image/32574?name=pr465at2.jpg&wh=max|||/image/32574?name=pr465at3.jpg&wh=max|||/image/32574?name=pr465at1.jpg&wh=max,3
/image/get?path=/Image/x<NUM>l<NUM>ghv<NUM>.jpg,10,/image/get?path=/Image/x2l8ghv3.jpg,1
